#depth	age	UK37	SST
133.56	2180.56	0.931	26.22
133.66	2182.22	0.939	26.47
133.76	2183.87	0.934	26.33
133.86	2185.53	0.940	26.51
133.96	2187.19	0.934	26.34
134.06	2188.85	0.949	26.75
134.16	2190.51	0.940	26.50
134.26	2192.17	0.941	26.54
134.355	2193.74	0.940	26.51
134.46	2195.48	0.913	25.70
134.54	2196.81	0.902	25.39
134.66	2198.80	0.908	25.55
134.76	2200.55	0.892	25.08
134.86	2202.30	0.894	25.13
134.955	2203.96	0.902	25.39
135.06	2205.80	0.914	25.73
135.17	2207.72	0.917	25.83
135.26	2209.29	0.932	26.27
135.36	2211.04	0.951	26.81
135.45	2212.62	0.950	26.79
135.47	2212.97	0.954	26.91
135.56	2214.54	0.959	27.05
135.66	2216.29	0.949	26.77
135.76	2218.04	0.935	26.36
135.86	2219.79	0.934	26.33
135.96	2221.54	0.922	25.97
136.06	2223.29	0.905	25.48
136.16	2225.03	0.902	25.39
136.26	2226.78	0.921	25.94
136.36	2228.53	0.927	26.12
136.46	2230.28	0.929	26.17
136.56	2232.03	0.951	26.83
136.64	2233.43	0.942	26.56
136.74	2235.18	0.918	25.86
136.84	2236.93	0.871	24.48
136.94	2238.68	0.868	24.37
137.04	2240.43	0.871	24.47
137.08	2241.13	0.866	24.33
137.14	2242.50	0.854	23.96
137.18	2243.42	0.865	24.29
137.24	2244.84	0.865	24.30
137.33	2246.96	0.886	24.91
137.38	2248.13	0.886	24.91
137.43	2249.31	0.885	24.89
137.485	2250.61	0.893	25.13
137.56	2252.38	0.898	25.25
137.58	2252.85	0.905	25.46
137.63	2254.03	0.924	26.02
137.68	2255.20	0.928	26.15
137.78	2257.56	0.941	26.52
137.88	2259.92	0.946	26.66
137.9	2260.39	0.971	27.42
137.98	2262.27	0.953	26.88
138	2262.75	0.963	27.18
138.08	2264.63	0.953	26.87
138.1	2265.10	0.958	27.03
138.165	2266.63	0.953	26.89
138.19	2267.22	0.966	27.25
138.25	2268.64	0.942	26.56
138.3	2269.98	0.963	27.16
138.38	2272.13	0.941	26.54
138.48	2274.92	0.936	26.37
138.58	2277.36	0.940	26.51
138.68	2279.53	0.933	26.30
138.78	2281.71	0.932	26.27
138.88	2283.89	0.926	26.09
138.98	2286.06	0.936	26.40
139.085	2288.35	0.936	26.37
139.185	2290.53	0.928	26.15
139.285	2292.71	0.895	25.17
139.38	2294.56	0.903	25.41
139.465	2295.96	0.903	25.40
139.565	2297.59	0.907	25.54
139.665	2299.20	0.910	25.63
139.765	2300.82	0.920	25.92
139.88	2302.68	0.925	26.07
139.98	2304.29	0.934	26.32
140.08	2305.90	0.940	26.51
140.18	2307.49	0.950	26.79
140.265	2308.76	0.955	26.94
140.295	2309.14	0.959	27.05
140.38	2310.21	0.951	26.83
140.48	2311.36	0.933	26.29
140.58	2312.45	0.919	25.89
140.68	2313.52	0.888	24.96
140.78	2314.60	0.911	25.64
140.88	2315.67	0.912	25.67
140.98	2316.75	0.908	25.57
141.08	2317.83	0.923	25.99
141.16	2318.69	0.928	26.15
141.26	2319.76	0.953	26.89
141.38	2321.12	0.963	27.18
141.48	2322.27	0.940	26.49
141.58	2323.42	0.931	26.23
141.68	2324.87	0.930	26.20
141.78	2326.64	0.932	26.28
141.88	2328.61	0.926	26.10
141.98	2330.63	0.923	25.99
142.08	2332.70	0.921	25.94
142.18	2334.78	0.927	26.11
142.28	2336.94	0.938	26.45
142.38	2339.15	0.939	26.46
142.48	2341.38	0.941	26.52
142.58	2343.61	0.951	26.83
142.68	2345.83	0.967	27.28
142.76	2347.58	0.969	27.35
142.88	2350.02	0.970	27.37
142.98	2351.94	0.961	27.11
143.08	2353.74	0.918	25.87
143.18	2355.52	0.935	26.36
143.28	2357.30	0.917	25.83
143.38	2359.08	0.909	25.58
143.48	2360.86	0.910	25.63
143.58	2362.64	0.917	25.82
143.68	2364.43	0.948	26.73
143.78	2366.20	0.933	26.30
143.88	2367.90	0.951	26.83
143.98	2369.51	0.935	26.34
144.08	2371.11	0.958	27.02
144.18	2372.70	0.931	26.24
144.38	2375.87	0.927	26.11
144.48	2377.45	0.935	26.35
144.58	2379.03	0.945	26.64
144.68	2380.61	0.939	26.47
144.78	2382.20	0.945	26.63
144.88	2383.79	0.945	26.63
144.98	2385.39	0.946	26.69
145.08	2387.06	0.948	26.73
145.18	2388.85	0.950	26.78
145.28	2390.75	0.953	26.88
145.38	2392.75	0.945	26.65
145.48	2394.79	0.937	26.41
145.58	2396.87	0.941	26.53
145.68	2398.98	0.937	26.42
145.755	2400.70	0.941	26.53
145.88	2403.87	0.945	26.66
145.97	2406.16	0.952	26.86
146.03	2407.71	0.947	26.69
146.08	2409.11	0.948	26.73
146.18	2412.12	0.950	26.79
146.28	2415.30	0.956	26.96
146.38	2418.20	0.955	26.95
146.49	2421.40	0.957	27.00
146.59	2424.30	0.954	26.90
146.69	2427.21	0.937	26.41
146.71	2427.79	0.941	26.52
146.81	2429.57	0.911	25.66
146.91	2430.98	0.898	25.26
147.01	2432.21	0.892	25.08
147.11	2433.46	0.897	25.23
147.21	2434.81	0.902	25.37
147.31	2436.17	0.910	25.62
147.41	2437.52	0.904	25.46
147.51	2438.88	0.913	25.70
147.61	2440.24	0.931	26.23
147.71	2441.61	0.916	25.79
147.81	2442.97	0.920	25.93
147.91	2444.26	0.917	25.83
148.01	2445.50	0.930	26.20
148.11	2446.68	0.926	26.09
148.21	2447.81	0.945	26.64
148.31	2448.95	0.913	25.70
148.41	2450.30	0.921	25.94
