#%		No tune			Min tun Muller/MacDo	Age model Larrasoana
#%m	gterr	age	sr	flux	age	sr	flux 	age	sr	flux
5.7571	0.0691	194.8626	2.9545	0.2041	108.1868	4.1550	0.2870	105.6128	4.5237	0.3125
5.7657	0.0762	195.1527	2.9545	0.2250	108.3446	4.1548	0.3164	105.6990	4.5235	0.3445
5.7743	0.0825	195.4428	2.9545	0.2436	108.4849	4.1547	0.3426	105.7852	4.5233	0.3730
5.7829	0.0874	195.7329	2.9545	0.2582	108.6427	4.1545	0.3630	105.8714	4.5231	0.3953
5.7914	0.0903	196.0231	2.9545	0.2668	108.7829	4.1544	0.3752	105.9577	4.5229	0.4085
5.8000	0.0909	196.3132	2.9545	0.2686	108.9407	4.1542	0.3777	106.0439	4.5227	0.4112
5.8086	0.0895	196.6033	2.9545	0.2645	109.0986	4.1540	0.3719	106.1301	4.5225	0.4049
5.8171	0.0865	196.8934	2.9545	0.2554	109.2388	4.1539	0.3592	106.2163	4.5223	0.3910
5.8257	0.0826	197.1835	2.9545	0.2441	109.3966	4.1537	0.3432	106.3026	4.5221	0.3736
5.8343	0.0786	197.4737	2.9545	0.2323	109.5369	4.1536	0.3265	106.3888	4.5219	0.3555
5.8429	0.0751	197.7638	2.9545	0.2218	109.6947	4.1534	0.3118	106.4750	4.5217	0.3395
5.8514	0.0723	198.0539	2.9545	0.2136	109.8350	4.1533	0.3003	106.5612	4.5215	0.3269
