"STATION","NAME","DATE","TMAX"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-11-27","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-11-28","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-11-29","68"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-11-30","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-01","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-02","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-03","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-04","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-05","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-06","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-07","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-08","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-09","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-10","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-11","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-12","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-13","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-14","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-15","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-16","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-17","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-18","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-19","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-20","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-21","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-22","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-23","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-24","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-25","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-26","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-27","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-28","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-29","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-30","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-12-31","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-01","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-02","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-03","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-04","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-05","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-06","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-07","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-08","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-09","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-10","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-11","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-12","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-13","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-14","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-15","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-16","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-17","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-18","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-19","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-20","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-21","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-22","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-23","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-24","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-25","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-26","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-27","67"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-28","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-29","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-30","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-01-31","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-01","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-02","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-03","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-04","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-05","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-06","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-07","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-08","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-09","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-10","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-11","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-12","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-13","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-14","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-15","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-16","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-17","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-18","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-19","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-20","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-21","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-22","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-23","74"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-24","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-25","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-26","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-27","75"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-02-28","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-01","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-02","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-03","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-04","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-05","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-06","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-07","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-08","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-09","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-10","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-11","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-12","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-13","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-14","59"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-15","68"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-16","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-17","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-18","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-19","76"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-20","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-21","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-22","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-23","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-24","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-25","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-26","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-27","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-28","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-29","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-30","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-03-31","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-01","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-02","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-03","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-04","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-05","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-06","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-07","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-08","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-09","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-10","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-11","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-12","82"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-13","85"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-14","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-15","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-16","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-17","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-18","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-19","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-20","81"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-21","83"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-22","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-23","77"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-24","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-25","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-26","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-27","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-28","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-29","79"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-04-30","78"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-01","80"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1993-05-02","81"
